Achievements,Action,Active sport,Adrenaline sports,Age,Ageing,Alcohol,Alternative,Animated,Appearence and gestures,Art exhibitions,Assertiveness,Biology,Borrowed stuff,Branded clothing,Fear_index,Calculation_973340536937771011,Loneliness2,Number of friends 2,Happiness in life2,Cars,Celebrities,Changing the past,Charity,Cheating in school,Chemistry,Children,Classical music,Comedy,Compassion to animals,Country,"Countryside, outdoors",Criminal damage,Daily events,Dance,Dancing,Dangerous dogs,Darkness,Decision making,Documentary,Dreams,Eating to survive (group),Eating to survive,Economy Management,Education,Elections,Empathy,Energy levels,Entertainment spending (group),Entertainment spending,Fake,Fantasy/Fairy tales,Fear of public speaking,Final judgement,Finances,Finding lost valuables,Flying,Folk,Foreign languages,Friends versus money,Fun with friends,Funniness,Gardening,Gender,Geography,Getting angry,Getting up,Giving (group),Giving,God (group) 1,God (group),God2 (group),God,Happiness in life (group),Happiness in life2 (group),Happiness in life,Health,Healthy eating,Height,Heights,"Hiphop, Rap",History,Horror,House - block of flats,Hypochondria,Interests or hobbies (group),Interests or hobbies,Internet usage,Internet,Judgment calls,Keeping promises,Knowing the right people,Latino,Law,Left - right handed,Life struggles,Loneliness (group),Loneliness2 (group),Loneliness,Loss of interest,Lying,Mathematics,Medicine,Metal or Hardrock,Mood swings,Movies,Music,Musical instruments,Musical,New environment,Number of Records,Number of friends (group),Number of friends 2 (group),Number of friends,Number of siblings,Only child,Opera,PC,Parents' advice,Passive sport,Personality,Pets,Physics,Politics,Pop,Prioritising workload,Psychology,Public speaking,Punctuality,Punk,Questionnaires or polls,Rats,Reading,"Reggae, Ska",Reliability,Religion,Responding to a serious letter,Rock n roll,Rock,Romantic,Sci-fi,Science and technology,Self-criticism,Shopping centres,Shopping,Slow songs or fast songs,Small - big dogs,Smoking,Snakes,Socializing,Spending on gadgets,Spending on healthy eating (group),Spending on healthy eating,Spending on looks,Spiders,Storm,"Swing, Jazz","Techno, Trance",Theatre,Thinking ahead,Thriller,Unpopularity,Village - town,Waiting,War,Weight,Western,Workaholism,Writing notes,Writing
3,3,1,2,20,5,drink a lot,5,4,4,5,3,2,5,3,30,not believing god,very lonely,lots of friends,very happy,3,2,1,3,4,1,5,4,5,5,3,3,2,2,1,2,1,5,5,3,3,Other,3,4,secondary school,3,5,3,be social,5,2,4,3,3,3,2,3,2,5,5,5,3,2,female,2,3,5,give more,4,Other,not believe in god,Other,1,Other,Other,4,4,3,170,3,2,3,4,block of flats,3,many interests,5,few hours a day,4,5,5,4,1,4,left handed,3,5,very lonely,5,5,sometimes,4,2,1,3,5,5,1,3,2,1,Other,Other,5,2,,4,4,3,5,3,3,3,4,4,3,4,3,i am often running late,4,3,1,5,3,5,2,4,5,5,5,3,3,5,3,2,3,5,current smoker,5,3,3,neutral,3,5,3,1,4,1,4,4,2,3,city,3,2,64,3,5,3,3
3,3,5,3,21,1,drink a lot,5,4,3,5,5,1,3,5,16,blieving god,neutral,neutral,neutral,1,2,4,2,5,5,5,3,4,3,1,2,5,5,3,5,3,2,2,4,3,Other,2,2,secondary school,5,5,4,be social,4,2,5,1,3,2,5,1,2,4,4,5,5,3,female,2,4,2,give more,5,Other,believe in god,blieving god,5,3,Other,3,3,2,165,1,3,5,5,block of flats,3,many interests,5,few hours a day,2,5,3,3,5,5,left handed,5,3,Other,3,2,only to avoid hurting someone,2,2,4,3,5,5,5,1,5,1,Other,Other,3,1,no,2,1,4,5,3,1,1,3,3,3,5,1,i am always on time,3,2,2,5,3,3,2,1,3,4,5,3,1,3,3,5,1,4,former smoker,2,3,3,neutral,3,4,2,1,3,1,5,4,3,5,city,3,3,50,2,2,5,4
4,2,3,3,19,2,drink a lot,5,5,5,5,4,2,3,2,29,blieving god,very lonely,neutral,very happy,1,2,2,1,4,1,5,5,5,4,2,4,5,1,3,4,1,2,3,4,3,Other,2,1,secondary school,3,5,3,be social,5,2,5,4,4,1,1,2,4,,4,5,3,2,female,2,4,5,neutral,3,4,believe in god,blieving god,4,Other,Other,4,3,3,170,4,1,3,1,block of flats,2,neutral,3,few hours a day,3,5,3,3,2,1,left handed,5,5,very lonely,5,3,sometimes,1,1,2,5,5,5,1,5,2,1,Other,Other,3,1,no,4,2,1,1,3,5,1,1,5,1,4,4,i am always on time,2,3,5,5,4,4,3,3,5,5,5,3,1,4,1,4,2,5,tried smoking,4,3,3,eat healthy,5,5,4,1,4,1,5,2,2,5,city,2,3,51,1,3,2,3
3,3,3,4,19,3,drink a lot,2,5,4,5,3,3,5,3,28,not believing god,not lonely,neutral,very happy,2,3,4,3,3,2,5,3,5,5,3,4,4,3,4,4,5,1,3,4,3,Other,2,4,secondary school,5,5,4,n,3,3,5,2,3,3,3,1,2,5,4,5,3,1,female,3,4,3,give more,5,Other,not believe in god,Other,2,Other,Other,4,3,3,166,2,3,4,3,block of flats,3,neutral,3,less than an hour a day,4,4,4,3,2,4,left handed,4,2,Other,2,4,only to avoid hurting someone,2,3,1,4,5,5,1,3,3,1,Other,Other,3,1,no,2,3,3,1,3,5,2,4,3,5,4,4,i am always on time,3,4,5,4,3,4,3,4,3,3,3,2,3,4,4,4,3,3,current smoker,4,3,2,neutral,3,4,4,1,5,2,5,4,3,3,city,3,4,44,2,5,5,3
5,3,4,4,28,5,drink a lot,3,3,2,3,5,2,2,3,35,neutral,very lonely,neutral,very happy,3,4,2,4,2,1,2,3,2,2,2,4,3,4,4,2,5,1,2,2,3,Other,3,3,masters degree,3,3,5,be social,5,4,4,4,2,4,2,5,3,5,4,4,1,4,female,2,5,2,neutral,3,Other,n,Other,3,Other,Other,4,5,3,166,1,4,3,4,block of flats,4,many interests,5,less than an hour a day,5,2,4,4,2,4,left handed,2,5,very lonely,5,5,sometimes,2,4,2,4,3,5,4,4,3,1,Other,Other,3,2,no,3,4,5,4,4,3,2,3,4,3,4,1,i am often running late,3,4,4,2,4,2,5,2,5,3,2,4,4,2,3,4,3,3,tried smoking,4,2,4,eat healthy,4,4,2,4,2,2,3,4,2,2,city,4,4,58,2,4,3,4
3,4,1,1,28,3,drink a lot,1,5,3,1,3,3,3,2,27,neutral,very lonely,no friends,very happy,1,2,4,2,4,1,5,2,5,5,3,3,5,2,4,1,3,1,5,4,5,1,1,3,masters degree,3,5,3,not be social,2,4,5,4,3,2,1,3,3,2,4,3,3,2,female,2,5,5,give less,1,Other,n,Other,3,Other,Other,4,3,4,178,3,2,3,1,block of flats,1,few interests,1,most of the day,3,1,3,4,4,1,left handed,4,4,very lonely,4,4,sometimes,2,1,1,4,4,5,1,2,3,1,Other,no friends,2,1,no,2,3,4,3,3,5,2,2,5,2,2,5,i am often running late,1,3,3,1,3,3,1,5,3,3,5,3,3,5,2,2,3,2,current smoker,3,1,2,eat unhealthy,2,2,3,1,3,4,2,1,4,3,city,3,3,65,1,1,3,1
4,4,4,2,25,3,drink a lot,3,4,4,2,3,5,3,4,38,blieving god,not lonely,no friends,very happy,5,4,5,5,5,5,2,4,3,5,5,3,4,4,5,5,3,4,4,4,5,Other,5,2,secondary school,2,4,5,be social,5,2,3,2,3,4,,4,5,5,5,3,4,5,female,3,4,1,give more,5,Other,believe in god,blieving god,5,Other,Other,4,5,4,167,4,4,4,2,block of flats,3,few interests,2,most of the day,4,4,4,4,4,2,left handed,4,2,Other,2,4,sometimes,3,5,5,2,5,5,4,4,4,1,Other,no friends,2,2,no,4,4,5,5,4,4,3,4,4,3,4,3,i am often running late,4,2,5,1,4,5,2,5,5,4,3,4,3,4,4,4,5,2,current smoker,5,3,5,eat healthy,5,5,4,4,4,4,4,4,3,4,city,3,4,60,4,4,5,5
3,3,5,5,18,3,never,3,3,4,5,3,5,5,5,37,neutral,neutral,lots of friends,very happy,3,2,2,3,1,5,5,4,4,5,2,5,1,4,2,5,5,2,5,4,4,Other,5,4,secondary school,5,5,4,be social,4,2,3,3,5,3,5,5,2,5,5,5,5,3,female,5,3,5,give more,5,Other,n,Other,3,Other,Other,4,5,3,159,2,2,5,4,block of flats,2,many interests,5,few hours a day,4,5,4,5,1,3,left handed,5,3,Other,3,5,sometimes,5,5,3,3,5,5,4,2,4,1,4,Other,4,1,no,4,5,,5,3,5,5,5,2,4,5,5,i am always on time,3,4,5,5,1,5,3,2,4,5,5,3,4,5,5,5,3,4,never smoked,5,4,5,eat healthy,5,5,5,2,4,1,4,5,3,5,city,3,3,52,3,5,4,4
2,4,2,1,20,1,social drinker,4,5,2,4,4,1,5,1,41,neutral,not lonely,lots of friends,very happy,3,4,1,1,5,1,3,2,5,5,3,2,3,3,3,1,5,5,1,3,3,1,1,3,secondary school,1,5,5,be social,4,1,5,2,1,1,1,3,1,3,1,5,1,1,female,3,1,5,give less,1,Other,n,Other,3,Other,Other,4,1,3,158,5,4,4,5,block of flats,1,many interests,5,few hours a day,5,5,1,3,2,2,left handed,3,Other,Other,1,1,only to avoid hurting someone,1,1,3,2,5,5,2,3,5,1,Other,Other,5,4,no,1,4,3,2,4,5,1,3,3,1,5,4,i am always on time,4,3,5,3,2,1,2,3,4,4,5,2,3,1,3,5,5,1,current smoker,5,4,1,eat unhealthy,1,5,5,5,2,3,3,2,5,3,city,2,3,46,2,1,1,1
3,3,1,2,18,3,social drinker,1,5,4,3,3,2,4,2,40,blieving god,very lonely,no friends,neutral,4,3,3,2,4,1,4,2,5,2,1,4,5,3,3,2,5,3,4,3,3,Other,2,3,primary school,1,5,3,not be social,2,2,5,4,3,3,4,3,2,3,4,5,4,1,female,3,4,3,give more,5,4,believe in god,blieving god,4,3,Other,3,4,4,165,4,5,3,3,block of flats,3,many interests,4,few hours a day,5,5,3,3,3,2,left handed,5,5,very lonely,5,1,only to avoid hurting someone,1,3,2,5,5,5,4,3,4,1,Other,no friends,2,5,no,2,4,3,3,3,1,2,2,3,2,2,4,i am always on time,3,3,5,1,3,4,3,2,1,2,5,2,3,3,5,5,3,3,former smoker,5,3,2,eat healthy,4,3,5,3,1,3,2,2,2,4,city,3,3,45,2,2,3,1
2,4,3,2,24,2,social drinker,4,5,4,1,3,2,3,3,30,blieving god,very lonely,neutral,neutral,1,1,3,3,4,2,3,4,4,5,3,4,3,2,3,1,2,4,4,4,3,Other,4,4,masters degree,2,5,2,not be social,2,1,5,3,4,2,2,1,2,4,4,4,3,1,female,2,2,5,neutral,3,Other,believe in god,blieving god,5,3,Other,3,3,3,176,3,2,4,5,block of flats,2,neutral,3,few hours a day,5,4,4,3,3,1,left handed,5,4,very lonely,4,2,sometimes,3,3,2,3,4,4,1,4,1,1,Other,Other,3,1,no,2,2,4,3,3,4,1,2,4,4,4,5,i am always on time,4,2,3,1,5,5,1,4,5,3,3,2,2,4,1,2,3,3,current smoker,5,1,3,neutral,3,3,5,2,4,1,3,3,4,3,city,4,5,48,2,3,3,1
3,2,5,4,16,3,social drinker,3,4,4,1,2,5,4,4,24,not believing god,very lonely,neutral,neutral,2,1,3,1,4,4,3,4,4,3,2,2,2,3,2,1,2,2,5,4,3,1,1,3,primary school,3,4,3,not be social,2,2,4,3,1,4,3,2,2,3,3,4,4,4,female,3,3,4,give less,2,Other,not believe in god,Other,1,3,Other,3,5,4,158,2,2,3,3,block of flats,4,many interests,4,few hours a day,5,4,4,4,2,1,left handed,4,4,very lonely,4,3,sometimes,5,4,5,4,4,4,1,2,4,1,Other,Other,3,1,no,3,4,4,4,3,2,3,2,2,3,3,4,i am always on time,3,4,2,5,3,3,1,4,3,4,4,3,3,4,4,3,4,4,never smoked,1,3,2,neutral,3,3,5,2,2,2,2,5,5,2,city,3,3,48,2,3,3,1
3,2,3,5,20,3,social drinker,5,3,3,5,5,2,4,3,21,not believing god,neutral,neutral,very happy,2,1,2,1,5,1,5,3,5,5,1,5,5,4,1,2,4,1,4,4,3,1,1,1,secondary school,5,5,4,n,3,2,2,4,2,3,1,1,2,4,5,5,5,2,female,3,3,3,give less,1,Other,not believe in god,Other,2,Other,Other,4,3,4,173,2,5,4,2,block of flats,1,neutral,3,few hours a day,5,5,3,1,3,2,left handed,2,3,Other,3,3,sometimes,1,1,5,3,5,5,2,1,5,1,Other,Other,3,1,no,4,4,3,4,3,5,1,4,2,3,4,4,i am often early,5,2,1,3,5,4,1,4,5,5,3,2,4,4,2,3,3,4,current smoker,1,4,2,eat healthy,5,2,3,1,3,4,5,4,3,3,city,3,4,50,3,3,5,1
3,2,4,3,17,5,social drinker,4,5,5,5,4,4,4,4,43,neutral,neutral,lots of friends,neutral,1,5,4,3,2,4,5,3,3,5,1,4,1,4,4,4,5,3,4,4,3,1,1,3,primary school,1,4,5,be social,4,3,4,4,3,3,5,4,3,5,5,5,2,1,female,5,2,4,give more,4,Other,n,Other,3,3,Other,3,5,5,165,3,3,5,2,block of flats,4,many interests,5,few hours a day,5,3,5,4,3,2,left handed,5,3,Other,3,1,sometimes,1,3,5,3,2,5,5,5,2,1,Other,Other,5,3,no,3,3,4,3,3,4,1,3,5,5,4,5,i am often early,5,4,5,5,4,5,3,5,5,5,3,2,2,4,5,5,4,1,former smoker,5,2,2,eat healthy,4,5,5,4,2,3,4,3,2,3,city,1,2,53,1,4,3,4
3,4,1,3,18,1,social drinker,4,5,4,3,1,2,2,4,33,blieving god,not lonely,lots of friends,very happy,2,4,3,3,3,1,2,4,5,4,2,5,2,4,4,3,4,2,4,3,5,1,1,4,secondary school,5,4,2,n,3,3,5,5,3,3,5,2,3,5,4,5,4,1,female,4,4,4,give more,4,Other,believe in god,blieving god,5,Other,Other,5,3,4,166,4,3,3,1,block of flats,2,few interests,2,few hours a day,5,5,2,2,4,2,left handed,4,Other,Other,1,4,sometimes,1,2,1,5,5,5,1,5,2,1,4,Other,4,1,no,2,2,5,4,3,3,1,4,5,1,5,5,i am often running late,2,3,4,5,3,3,5,3,3,4,5,3,3,4,5,3,3,2,former smoker,5,1,2,eat healthy,4,2,5,1,4,3,5,2,3,4,city,3,4,65,2,4,5,3
3,3,3,1,20,2,social drinker,3,4,4,3,5,3,4,4,28,blieving god,neutral,lots of friends,very happy,2,2,2,3,4,2,3,3,4,3,3,5,2,4,3,2,4,2,5,4,4,Other,2,4,secondary school,5,4,4,n,3,2,5,2,5,3,4,1,3,5,4,5,4,2,female,5,2,5,give more,4,Other,believe in god,blieving god,5,Other,Other,4,3,3,165,5,4,5,1,block of flats,2,many interests,5,few hours a day,4,3,4,4,3,4,left handed,4,3,Other,3,3,sometimes,2,2,1,2,4,4,2,3,5,1,Other,Other,5,1,no,3,2,4,1,3,3,3,5,3,2,4,3,i am often running late,2,3,3,4,2,4,5,5,3,2,4,1,2,2,3,4,3,2,tried smoking,4,4,4,eat healthy,4,3,3,2,4,2,3,3,1,4,city,3,3,,3,4,5,3
2,3,5,5,22,1,social drinker,5,5,4,5,3,3,4,3,11,blieving god,not lonely,neutral,very happy,5,2,2,5,3,2,5,5,5,3,2,2,2,5,5,5,2,1,3,5,3,Other,3,2,college/bachelor degree,5,5,4,n,3,2,5,1,2,4,1,1,5,2,5,5,2,4,female,2,3,3,give more,4,Other,believe in god,blieving god,5,Other,Other,4,3,4,175,1,5,4,3,block of flats,2,neutral,3,less than an hour a day,3,4,4,5,5,3,left handed,2,2,Other,2,2,everytime it suits me,4,5,1,2,4,5,1,3,4,1,Other,Other,3,6,no,4,3,3,2,3,1,3,2,3,3,5,1,i am always on time,1,3,1,2,1,4,5,1,4,3,4,4,5,3,3,5,3,5,never smoked,1,3,3,neutral,3,3,1,1,5,1,5,3,4,3,city,3,4,86,3,4,4,3
3,,5,3,18,5,social drinker,4,4,3,2,5,3,5,4,23,blieving god,neutral,neutral,neutral,1,2,3,3,5,2,5,3,4,5,2,3,1,5,2,2,5,3,2,2,3,Other,2,4,primary school,5,5,5,n,3,2,4,1,1,4,3,1,1,4,4,5,3,1,female,2,3,5,give more,5,4,believe in god,blieving god,4,3,Other,3,5,4,158,1,4,2,1,block of flats,1,,,less than an hour a day,3,5,5,5,3,4,left handed,5,3,Other,3,3,sometimes,1,3,2,3,4,5,1,3,5,1,Other,Other,3,2,no,2,2,3,3,3,1,1,3,4,3,3,1,i am always on time,3,3,3,3,4,3,1,4,2,3,3,2,1,5,3,3,3,1,tried smoking,2,4,2,eat healthy,5,3,1,1,2,1,3,2,3,4,city,2,3,50,1,2,1,1
3,3,1,1,19,1,social drinker,3,5,4,2,2,2,4,2,17,blieving god,not lonely,neutral,very happy,2,2,3,1,3,1,5,2,5,5,1,4,1,3,3,1,4,2,5,3,3,Other,2,3,secondary school,5,5,3,n,3,1,5,2,3,2,2,1,2,5,3,4,2,3,female,3,1,4,neutral,3,4,believe in god,blieving god,4,Other,Other,4,3,3,175,2,3,3,5,block of flats,2,neutral,3,less than an hour a day,4,5,4,3,3,4,left handed,5,2,Other,2,1,sometimes,2,2,2,3,5,5,1,3,3,1,Other,Other,3,2,no,2,5,4,5,3,5,1,3,4,2,3,3,i am often early,1,4,1,3,2,4,2,4,3,3,3,3,4,4,4,5,3,2,current smoker,1,3,2,eat unhealthy,2,4,2,1,2,4,2,3,4,3,city,3,2,60,1,2,4,1
3,2,2,1,20,2,social drinker,3,4,4,4,3,5,4,2,27,blieving god,neutral,neutral,neutral,1,1,3,3,3,4,4,4,4,3,2,4,3,1,4,5,3,3,3,4,3,Other,2,1,secondary school,5,5,3,not be social,2,1,4,3,3,4,3,2,2,4,5,4,3,3,female,3,4,4,give less,2,Other,believe in god,blieving god,5,3,Other,3,3,3,163,1,1,2,1,block of flats,1,many interests,4,less than an hour a day,3,4,5,4,5,2,left handed,4,3,Other,3,3,sometimes,2,5,2,5,5,5,2,3,3,1,Other,Other,3,1,no,1,1,3,3,3,3,1,1,3,4,3,5,i am often early,2,3,1,5,3,4,3,1,2,3,4,3,5,3,3,3,3,1,never smoked,4,3,3,eat unhealthy,2,3,4,4,4,4,5,3,3,5,city,2,1,54,1,4,5,1
